episode,job_id,type,priority,arrival,deadline,processing_time,completion,tardiness,wait_time,machine,energy_consumed
1,0,A,normal,0,9,4,4,0,0,0,0.86
1,1,A,normal,0,11,6,7,0,1,1,1.332
1,4,B,normal,3,21,10,14,0,1,2,5.73
1,2,C,normal,1,29,16,21,0,4,0,10.176
1,3,C,normal,2,30,16,31,1,13,2,10.224
1,1100,C,high,17,35,16,35,0,2,1,13.264
2,0,A,normal,0,11,6,6,0,0,1,0.744
2,1,A,normal,0,8,3,14,6,11,2,0.579
2,3,B,normal,2,18,8,15,0,5,1,3.48
2,2,A,normal,1,10,4,17,7,12,0,1.172
2,4,B,normal,3,19,8,23,4,12,2,2.44
2,5,C,normal,4,30,14,34,4,16,0,10.486
3,0,B,normal,0,15,7,7,0,0,0,4.088
3,3,A,normal,2,12,5,7,0,0,2,1.165
3,2,B,normal,1,16,7,8,0,0,1,3.829
3,4,A,normal,3,13,5,13,0,5,0,1.15
3,5,A,normal,4,15,6,15,0,5,1,0.66
3,1,C,normal,0,26,14,24,0,10,2,11.76
4,1,A,normal,0,9,4,4,0,0,0,0.848
4,5,B,normal,4,22,10,15,0,1,0,4.14
4,0,C,normal,0,29,17,17,0,0,1,12.495
4,4,B,normal,3,23,12,28,5,13,0,4.212
4,3,B,normal,2,22,12,30,8,16,1,3.924
4,2,C,normal,1,30,17,36,6,18,2,11.645
5,3,A,normal,2,11,4,6,0,0,0,0.916
5,1,B,normal,0,19,11,11,0,0,2,3.938
5,2,B,normal,1,20,11,12,0,0,1,6.435
5,5,A,normal,4,13,4,16,3,8,2,1.1
5,4,B,normal,3,20,9,22,2,10,1,3.357
5,1500,B,high,7,16,9,30,14,14,0,4.842
6,2,B,normal,1,20,11,12,0,0,0,6.556
6,0,B,normal,0,19,11,15,0,4,2,6.017
6,5,B,normal,4,21,9,22,1,9,0,3.609
6,1,C,normal,0,26,14,30,4,16,2,11.116
6,3,C,normal,2,28,14,37,9,21,0,10.864
6,4,C,normal,3,29,14,42,13,25,1,10.626
7,1,B,normal,0,16,8,8,0,0,1,2.96
7,2,B,normal,1,16,7,9,0,1,0,3.605
7,0,A,normal,0,9,4,14,5,10,0,1.116
7,3,B,normal,2,21,11,20,0,7,1,5.071
7,4,C,normal,3,30,15,28,0,10,2,14.88
7,5,C,normal,4,36,20,35,0,11,0,18.38
8,0,A,normal,0,10,5,5,0,0,0,1.445
8,1,B,normal,0,15,7,7,0,0,1,3.955
8,5,B,normal,4,23,11,19,0,4,1,5.467
8,3,B,normal,2,19,9,24,5,13,2,3.384
8,2,B,normal,1,19,10,30,11,19,1,5.04
8,1800,A,high,19,23,4,35,12,12,0,0.816
9,0,A,normal,0,11,6,6,0,0,0,1.074
9,2,A,normal,1,12,6,7,0,0,1,1.494
9,4,A,normal,3,12,4,11,0,4,0,0.668
9,1,B,normal,0,18,10,12,0,2,2,4.02
9,3,C,normal,2,34,20,28,0,6,1,13.56
9,5,C,normal,4,34,18,60,26,38,0,16.02
10,2,A,normal,1,11,5,6,0,0,0,1.225
10,4,B,normal,3,20,9,13,0,1,2,4.248
10,3,B,normal,2,22,12,19,0,5,0,5.688
10,5,C,normal,4,30,14,29,0,11,2,10.626
10,1,C,normal,0,31,19,39,8,20,0,17.347
10,0,C,normal,0,31,19,45,14,26,1,12.255
11,2,B,normal,1,18,9,10,0,0,1,2.952
11,1,B,normal,0,20,12,14,0,2,2,6.66
11,0,A,normal,0,10,5,16,6,11,1,0.865
11,4,A,normal,3,12,4,17,5,10,0,0.5
11,5,A,normal,4,13,4,21,8,13,1,0.608
11,3,B,normal,2,21,11,26,5,13,2,4.334
12,0,B,normal,0,15,7,7,0,0,0,3.178
12,2,A,normal,1,12,6,7,0,0,1,1.644
12,4,A,normal,3,12,4,8,0,1,2,0.764
12,5,B,normal,4,24,12,20,0,4,1,6.528
12,1,C,normal,0,30,18,26,0,8,0,15.282
12,3,C,normal,2,34,20,29,0,7,2,16.4
13,0,A,normal,0,8,3,3,0,0,2,0.621
13,3,A,normal,2,11,4,7,0,1,1,1.196
13,5,B,normal,4,23,11,15,0,0,2,3.663
13,2,B,normal,1,20,11,19,0,7,1,3.982
13,1,C,normal,0,32,20,36,4,16,2,12.48
13,4,C,normal,3,29,14,42,13,25,1,8.862
14,0,B,normal,0,18,10,10,0,0,0,4.26
14,1,B,normal,0,19,11,11,0,0,1,6.193
14,2,B,normal,1,19,10,12,0,1,2,4.14
14,4,B,normal,3,21,10,21,0,8,0,3.39
14,3,C,normal,2,27,13,26,0,11,2,9.919
14,5,B,normal,4,23,11,33,10,18,0,4.928
15,1,A,normal,0,8,3,3,0,0,0,0.753
15,0,A,normal,0,10,5,5,0,0,1,1.415
15,2,A,normal,1,11,5,7,0,1,2,1.14
15,4,A,normal,3,14,6,10,0,1,0,1.452
15,5,A,normal,4,15,6,12,0,2,1,1.002
15,3,B,normal,2,17,7,15,0,6,2,3.577
16,0,A,normal,0,9,4,4,0,0,0,0.936
16,1,A,normal,0,11,6,6,0,0,1,1.044
16,5,A,normal,4,15,6,11,0,1,0,1.488
16,4,A,normal,3,13,5,12,0,4,1,0.935
16,3,A,normal,2,13,6,22,9,14,1,0.81
16,2,C,normal,1,26,13,26,0,12,2,13.0
17,1,A,normal,0,9,4,6,0,2,0,0.936
17,3,A,normal,2,12,5,8,0,1,2,0.615
17,2,B,normal,1,17,8,10,0,1,1,4.072
17,5,B,normal,4,21,9,16,0,3,0,3.636
17,4,B,normal,3,21,10,21,0,8,1,4.26
17,2700,C,high,1,20,17,27,7,9,2,12.155
18,2,A,normal,1,12,6,7,0,0,0,1.44
18,5,A,normal,4,14,5,13,0,4,0,1.195
18,1,B,normal,0,20,12,14,0,2,2,4.92
18,0,C,normal,0,31,19,34,3,15,2,14.896
18,3,C,normal,2,30,16,51,21,33,2,12.656
18,2800,A,high,39,44,3,52,8,10,1,0.561
19,0,A,normal,0,9,4,4,0,0,0,0.596
19,4,A,normal,3,11,3,8,0,2,0,0.657
19,1,B,normal,0,16,8,8,0,0,2,3.208
19,3,B,normal,2,21,11,13,0,0,1,5.709
19,5,B,normal,4,20,8,17,0,5,0,4.192
19,2,C,normal,1,27,14,24,0,9,2,13.174
20,1,A,normal,0,10,5,5,0,0,1,1.335
20,3,B,normal,2,17,7,10,0,1,0,3.178
20,0,B,normal,0,18,10,16,0,6,1,5.38
20,5,A,normal,4,15,6,17,2,7,0,0.804
20,4,B,normal,3,23,12,28,5,13,2,5.4
20,2,C,normal,1,27,14,31,4,16,1,12.334
21,1,A,normal,0,9,4,4,0,0,0,0.756
21,3,A,normal,2,12,5,7,0,0,2,0.72
21,5,A,normal,4,14,5,10,0,1,0,0.525
21,0,B,normal,0,20,12,12,0,0,1,4.08
21,2,B,normal,1,16,7,15,0,7,2,4.137
21,3100,A,high,12,19,6,19,0,1,1,1.272
22,1,A,normal,0,9,4,4,0,0,0,0.972
22,0,B,normal,0,16,8,9,0,1,2,3.312
22,2,B,normal,1,21,12,14,0,1,1,6.768
22,4,B,normal,3,23,12,22,0,7,2,5.244
22,5,B,normal,4,20,8,23,3,11,1,4.696
22,3,C,normal,2,30,16,39,9,21,0,11.36
23,2,A,normal,1,12,6,7,0,0,0,0.822
23,1,B,normal,0,15,7,7,0,0,1,3.122
23,3,B,normal,2,17,7,9,0,0,2,2.653
23,4,A,normal,3,13,5,13,0,5,1,1.255
23,0,B,normal,0,20,12,20,0,8,0,3.696
23,5,C,normal,4,36,20,30,0,6,2,17.56
24,2,A,normal,1,10,4,5,0,0,0,0.924
24,0,A,normal,0,11,6,6,0,0,1,1.11
24,5,A,normal,4,12,3,9,0,2,0,0.618
24,1,C,normal,0,27,15,17,0,2,2,14.235
24,4,B,normal,3,23,12,32,9,17,0,4.14
24,3400,A,high,25,33,6,35,2,4,1,0.9
25,1,A,normal,0,8,3,3,0,0,0,0.891
25,0,A,normal,0,11,6,6,0,0,1,1.206
25,4,A,normal,3,12,4,8,0,1,0,0.74
25,2,B,normal,1,21,12,14,0,1,2,6.084
25,3500,B,high,17,28,9,28,0,2,1,5.193
25,5,C,normal,4,29,13,28,0,11,2,10.855
26,1,A,normal,0,11,6,6,0,0,0,1.662
26,2,A,normal,1,11,5,7,0,1,1,0.71
26,4,A,normal,3,13,5,13,0,5,1,0.67
26,3,B,normal,2,22,12,19,0,5,0,6.024
26,5,B,normal,4,22,10,24,2,10,1,4.5
26,0,B,normal,0,19,11,28,9,17,2,6.204
27,0,A,normal,0,8,3,3,0,0,2,0.798
27,1,A,normal,0,11,6,7,0,1,0,1.428
27,2,B,normal,1,19,10,13,0,2,1,5.9
27,3,B,normal,2,20,10,18,0,6,0,5.23
27,4,B,normal,3,19,8,22,3,11,1,3.84
27,3700,B,high,26,34,7,34,0,1,0,3.262
28,0,A,normal,0,8,3,3,0,0,0,0.813
28,4,A,normal,3,11,3,7,0,1,0,0.798
28,2,B,normal,1,19,10,11,0,0,1,4.85
28,3,B,normal,2,20,10,12,0,0,2,5.0
28,5,A,normal,4,14,5,13,0,4,0,0.62
28,1,C,normal,0,27,15,37,10,22,0,13.995
29,2,B,normal,1,16,7,8,0,0,2,2.457
29,3,B,normal,2,17,7,9,0,0,0,3.437
29,4,A,normal,3,11,3,13,2,7,0,0.63
29,1,C,normal,0,25,13,13,0,0,1,9.971
29,5,A,normal,4,15,6,15,0,5,2,1.05
29,3900,B,high,13,22,8,22,0,1,0,3.832
30,1,A,normal,0,8,3,3,0,0,1,0.816
30,2,A,normal,1,11,5,7,0,1,0,0.97
30,5,A,normal,4,12,3,7,0,0,1,0.495
30,3,A,normal,2,13,6,14,1,6,0,0.702
30,0,C,normal,0,29,17,17,0,0,2,16.558
30,4000,A,high,12,17,4,22,5,6,2,0.424
31,0,A,normal,0,8,3,4,0,1,0,0.654
31,3,A,normal,2,12,5,7,0,0,2,0.92
31,1,B,normal,0,18,10,10,0,0,1,3.65
31,2,B,normal,1,21,12,23,2,10,1,6.912
31,5,B,normal,4,21,9,28,7,15,0,3.978
31,4,C,normal,3,33,18,56,23,35,0,16.56
32,0,A,normal,0,10,5,5,0,0,0,1.215
32,1,C,normal,0,26,14,14,0,0,1,11.368
32,5,A,normal,4,14,5,20,6,11,1,1.155
32,2,A,normal,1,11,5,22,11,16,0,0.9
32,4200,A,high,21,29,6,29,0,2,0,0.762
32,4,C,normal,3,29,14,30,1,13,2,8.862
33,1,A,normal,0,10,5,5,0,0,0,1.255
33,3,B,normal,2,21,11,13,0,0,1,5.456
33,4,B,normal,3,19,8,14,0,3,0,3.72
33,0,C,normal,0,26,14,14,0,0,2,12.376
33,4300,C,high,8,26,16,31,5,7,0,10.288
33,2,C,normal,1,30,17,31,1,13,1,14.586
34,2,A,normal,1,12,6,8,0,1,0,0.63
34,0,B,normal,0,19,11,11,0,0,1,4.961
34,5,B,normal,4,21,9,18,0,5,0,4.572
34,4,C,normal,3,28,13,25,0,9,1,11.999
34,3,B,normal,2,18,8,27,9,17,0,3.864
34,1,C,normal,0,29,17,39,10,22,2,16.983
35,2,A,normal,1,9,3,5,0,1,2,0.606
35,1,A,normal,0,8,3,9,1,6,2,0.453
35,0,B,normal,0,20,12,12,0,0,1,3.996
35,5,B,normal,4,20,8,18,0,6,2,4.128
35,3,B,normal,2,20,10,22,2,10,0,4.67
35,4,C,normal,3,30,15,28,0,10,1,13.395
36,1,A,normal,0,9,4,4,0,0,0,0.904
36,2,A,normal,1,9,3,4,0,0,2,0.363
36,4,A,normal,3,11,3,6,0,0,1,0.384
36,5,B,normal,4,24,12,17,0,1,0,4.608
36,0,C,normal,0,25,13,19,0,6,2,11.167
36,3,C,normal,2,29,15,24,0,7,1,12.585
37,1,B,normal,0,15,7,7,0,0,2,2.205
37,0,B,normal,0,20,12,12,0,0,0,4.032
37,3,A,normal,2,12,5,13,1,6,2,0.92
37,5,A,normal,4,14,5,18,4,9,0,1.1
37,2,C,normal,1,26,13,27,1,13,1,12.909
37,4,C,normal,3,31,16,30,0,11,2,10.56
38,1,A,normal,0,10,5,5,0,0,1,1.495
38,2,A,normal,1,11,5,6,0,0,2,1.415
38,4,B,normal,3,19,8,19,0,8,0,4.784
38,3,B,normal,2,22,12,19,0,5,2,4.452
38,5,B,normal,4,24,12,28,4,12,1,5.508
38,4800,A,high,23,30,6,30,0,1,2,0.912
39,1,A,normal,0,11,6,6,0,0,0,0.828
39,4,A,normal,3,13,5,8,0,0,1,0.965
39,0,B,normal,0,18,10,10,0,0,2,4.15
39,2,B,normal,1,18,9,16,0,6,0,4.788
39,5,B,normal,4,23,11,22,0,7,2,5.907
39,3,B,normal,2,22,12,31,9,17,0,5.064
40,0,A,normal,0,9,4,4,0,0,0,0.456
40,3,A,normal,2,12,5,7,0,0,2,1.36
40,2,B,normal,1,16,7,12,0,4,0,2.128
40,1,B,normal,0,18,10,18,0,8,2,3.31
40,5,B,normal,4,21,9,22,1,9,1,2.817
40,4,C,normal,3,30,15,28,0,10,0,10.65
41,1,A,normal,0,9,4,5,0,1,0,1.1
41,2,A,normal,1,10,4,6,0,1,2,0.42
41,3,B,normal,2,18,8,14,0,4,0,3.792
41,5,B,normal,4,23,11,18,0,3,2,4.29
41,0,C,normal,0,32,20,20,0,0,1,14.24
41,4,C,normal,3,34,19,34,0,12,0,12.616
42,0,A,normal,0,11,6,6,0,0,0,1.2
42,2,A,normal,1,12,6,8,0,1,2,1.068
42,5,A,normal,4,14,5,12,0,3,0,1.34
42,4,A,normal,3,12,4,13,1,6,2,0.696
42,1,B,normal,0,17,9,22,5,13,0,3.024
42,3,B,normal,2,21,11,25,4,12,2,3.96
43,1,A,normal,0,10,5,5,0,0,0,1.025
43,3,A,normal,2,10,3,5,0,0,1,0.69
43,0,B,normal,0,19,11,11,0,0,2,4.84
43,2,A,normal,1,12,6,12,0,5,1,1.23
43,4,A,normal,3,12,4,17,5,10,1,1.144
43,5,B,normal,4,23,11,23,0,8,2,3.399
44,2,A,normal,1,10,4,5,0,0,1,0.776
44,0,A,normal,0,11,6,6,0,0,0,1.662
44,1,A,normal,0,11,6,8,0,2,2,1.218
44,3,A,normal,2,13,6,13,0,5,0,1.602
44,5,B,normal,4,22,10,19,0,5,2,3.83
44,4,B,normal,3,18,7,21,3,11,0,2.45
45,0,A,normal,0,8,3,3,0,0,1,0.447
45,2,A,normal,1,12,6,7,0,0,2,1.404
45,3,B,normal,2,20,10,12,0,0,0,5.75
45,4,B,normal,3,21,10,14,0,1,1,5.84
45,5,B,normal,4,21,9,17,0,4,2,2.979
45,1,C,normal,0,27,15,29,2,14,0,10.635
46,1,A,normal,0,10,5,5,0,0,0,1.4
46,3,B,normal,2,17,7,10,0,1,1,3.234
46,0,B,normal,0,19,11,11,0,0,2,6.292
46,5,A,normal,4,15,6,12,0,2,0,1.098
46,4,B,normal,3,19,8,19,0,8,1,3.792
46,2,B,normal,1,20,11,23,3,11,2,5.797
47,1,A,normal,0,8,3,3,0,0,0,0.45
47,3,A,normal,2,12,5,7,0,0,2,1.055
47,4,B,normal,3,18,7,11,0,1,0,2.709
47,5,B,normal,4,20,8,20,0,8,0,4.152
47,0,B,normal,0,20,12,20,0,8,2,5.7
47,2,C,normal,1,30,17,30,0,12,1,15.47
48,0,A,normal,0,11,6,6,0,0,0,0.606
48,1,B,normal,0,15,7,14,0,7,0,4.06
48,4,A,normal,3,11,3,14,3,8,2,0.474
48,5,B,normal,4,19,7,19,0,8,1,3.696
48,3,B,normal,2,18,8,23,5,13,0,2.84
48,2,C,normal,1,29,16,32,3,15,2,13.2
49,4,A,normal,3,11,3,6,0,0,1,0.363
49,2,B,normal,1,19,10,11,0,0,2,4.37
49,1,C,normal,0,28,16,16,0,0,0,12.88
49,5,B,normal,4,23,11,18,0,3,1,4.576
49,3,B,normal,2,22,12,24,2,10,2,5.472
49,0,C,normal,0,30,18,36,6,18,0,17.172
50,1,A,normal,0,11,6,6,0,0,1,0.762
50,2,B,normal,1,17,8,10,0,1,0,4.36
50,0,B,normal,0,17,9,10,0,1,2,3.861
50,5,B,normal,4,24,12,19,0,3,1,5.748
50,6000,A,high,13,17,3,23,6,7,1,0.693
50,3,C,normal,2,27,13,24,0,9,0,10.556
