step,mean_reward,std_reward,mean_tardiness,mean_energy,mean_makespan,actor_loss,critic_loss,entropy,elapsed_min
51200,6.266,2.3004,0.1547,43.6042,29.3,-0.0024,0.4499,0.0546,5.49
102400,6.5804,2.0507,0.1262,42.7031,30.0,-0.0028,0.4153,0.0565,10.88
153600,6.7501,1.5966,0.1056,41.6784,28.03,-0.0031,0.3766,0.0619,16.24
204800,6.6314,1.4671,0.1278,41.9799,27.17,-0.0023,0.3722,0.0599,21.62
256000,7.0487,1.1662,0.0834,38.8334,28.07,-0.0028,0.3869,0.0594,27.03
307200,6.5544,1.7335,0.1278,41.8624,28.0,-0.0045,0.413,0.0646,32.29
358400,6.912,1.4594,0.1001,39.2395,27.13,-0.0026,0.368,0.062,37.61
409600,6.0848,1.8018,0.1612,46.3305,28.27,-0.004,0.3509,0.0556,43.01
460800,6.7016,1.7247,0.1389,37.9844,26.37,-0.0034,0.3777,0.0535,48.42
512000,6.6897,1.4289,0.1152,43.3207,28.27,-0.0035,0.3096,0.0581,53.85
563200,6.7629,1.5206,0.1112,39.3648,27.57,-0.003,0.2887,0.0586,59.28
614400,6.8756,1.4284,0.089,40.6827,30.27,-0.0037,0.296,0.0501,64.64
665600,6.7784,1.5136,0.1056,41.654,28.6,-0.0033,0.368,0.0563,69.98
716800,5.7377,2.1751,0.2001,42.7354,29.87,-0.0031,0.3382,0.0583,75.35
768000,6.986,1.5721,0.089,41.2819,27.63,-0.0028,0.35,0.0484,80.73
819200,7.1581,1.5862,0.0778,40.6473,28.23,-0.0036,0.327,0.0602,86.07
870400,6.8172,1.729,0.1001,40.7743,29.83,-0.0026,0.3598,0.0561,91.31
921600,6.7561,1.4816,0.1112,39.6097,28.0,-0.0034,0.3218,0.0633,96.55
972800,6.7577,1.6169,0.0945,46.2302,29.3,-0.0042,0.3256,0.0566,101.91
1000000,6.8958,1.7457,0.1,40.4041,27.8,-0.0058,0.3656,0.0606,104.72
