step,mean_reward,std_reward,mean_tardiness,mean_energy,mean_makespan,actor_loss,critic_loss,entropy,elapsed_min
51200,4.212,4.2125,0.2668,56.2969,55.7,-0.0018,0.9815,0.0484,5.97
102400,2.8518,3.9315,0.3168,71.335,66.4,-0.0021,0.6412,0.0462,11.75
153600,5.1371,1.4204,0.2455,50.6673,47.5,-0.0016,0.5752,0.0296,17.61
204800,6.0721,2.114,0.1167,49.7649,51.9,-0.0017,0.6688,0.0365,23.55
256000,5.9121,1.3474,0.1668,42.9684,49.8,-0.0018,0.5898,0.0486,29.37
307200,5.4949,1.5398,0.1667,51.7989,51.4,-0.0021,0.6074,0.0427,35.12
358400,5.7379,2.2668,0.1834,48.6965,54.7,-0.0017,0.7378,0.0401,40.93
409600,4.7435,2.4613,0.2667,43.7638,47.2,-0.0015,0.5737,0.0423,46.7
460800,6.0689,1.5162,0.1167,48.8309,49.8,-0.0022,0.6165,0.0326,52.46
512000,5.2043,2.3064,0.2,50.1153,57.4,-0.0021,0.6117,0.0421,58.15
563200,4.0774,2.8945,0.2667,52.6339,57.3,-0.0023,0.5632,0.034,63.95
614400,6.9891,1.2695,0.0835,42.7921,51.9,-0.0029,0.6262,0.0416,69.66
665600,4.9679,2.0369,0.2167,54.0512,49.3,-0.0018,0.5101,0.0418,75.42
716800,5.2718,2.5233,0.2167,45.6837,48.6,-0.0026,0.6489,0.0404,81.27
768000,5.9664,1.041,0.1335,44.7999,50.6,-0.0028,0.5992,0.0376,87.07
819200,4.8743,2.9203,0.25,46.8332,48.8,-0.003,0.5037,0.0431,92.82
870400,5.8727,2.0698,0.1667,49.0204,52.9,-0.0025,0.8348,0.0418,98.6
921600,5.1894,1.5826,0.2,52.499,49.5,-0.0025,0.8844,0.0396,104.33
972800,6.4068,2.4314,0.1167,44.8753,53.5,-0.003,0.5883,0.042,109.97
1000000,4.8082,1.6836,0.2903,46.8829,49.9,-0.0033,0.3595,0.0406,113.05
